Date Time,Order Number,Activity,Server
2024-05-26 17:17:00,37,Drink Served,Barista A
2024-05-26 17:19:00,6,Snack Prepared,Barista D
2024-05-26 17:19:00,25,Bill Delivered,Barista E
2024-05-26 17:19:00,36,Order Taken,Barista F
2024-05-26 17:20:00,22,Snack Prepared,Barista B
2024-05-26 17:21:00,37,Snack Prepared,Barista A
2024-05-26 17:22:00,6,Snack Served,Barista D
2024-05-26 17:22:00,25,Bill Paid,Barista E
2024-05-26 17:22:00,36,Drink Prepared,Barista F
2024-05-26 17:22:00,22,Snack Served,Barista B
2024-05-26 17:23:00,19,Drink Prepared,Barista C
2024-05-26 17:23:00,37,Snack Served,Barista A
2024-05-26 17:23:00,22,Bill Delivered,Barista B
2024-05-26 17:23:00,32,Seated,Barista E
2024-05-26 17:24:00,6,Bill Delivered,Barista D
2024-05-26 17:24:00,37,Bill Delivered,Barista A
2024-05-26 17:25:00,36,Drink Served,Barista F
2024-05-26 17:25:00,22,Bill Paid,Barista B
2024-05-26 17:25:00,6,Bill Paid,Barista D
2024-05-26 17:26:00,19,Drink Served,Barista C
2024-05-26 17:26:00,28,Seated,Barista B
2024-05-26 17:27:00,32,Order Taken,Barista E
2024-05-26 17:27:00,37,Bill Paid,Barista A
2024-05-26 17:27:00,36,Snack Prepared,Barista F
2024-05-26 17:28:00,9,Seated,Barista D
2024-05-26 17:28:00,48,Seated,Barista A
2024-05-26 17:29:00,28,Order Taken,Barista B
2024-05-26 17:29:00,36,Snack Served,Barista F
2024-05-26 17:30:00,9,Order Taken,Barista D
2024-05-26 17:31:00,19,Snack Prepared,Barista C
2024-05-26 17:31:00,36,Bill Delivered,Barista F
2024-05-26 17:32:00,48,Order Taken,Barista A
2024-05-26 17:32:00,28,Drink Prepared,Barista B
2024-05-26 17:32:00,19,Snack Served,Barista C
2024-05-26 17:32:00,36,Bill Paid,Barista F
2024-05-26 17:33:00,32,Drink Prepared,Barista E
2024-05-26 17:33:00,19,Bill Delivered,Barista C
2024-05-26 17:34:00,28,Drink Served,Barista B
2024-05-26 17:34:00,44,Seated,Barista F
2024-05-26 17:34:00,19,Bill Paid,Barista C
2024-05-26 17:35:00,9,Drink Prepared,Barista D
2024-05-26 17:35:00,32,Drink Served,Barista E
2024-05-26 17:35:00,23,Seated,Barista C
2024-05-26 17:36:00,28,Snack Prepared,Barista B
2024-05-26 17:36:00,9,Drink Served,Barista D
2024-05-26 17:37:00,32,Snack Prepared,Barista E
2024-05-26 17:38:00,23,Order Taken,Barista C
2024-05-26 17:38:00,28,Snack Served,Barista B
2024-05-26 17:38:00,9,Snack Prepared,Barista D
2024-05-26 17:39:00,48,Drink Prepared,Barista A
2024-05-26 17:39:00,44,Order Taken,Barista F
2024-05-26 17:39:00,32,Snack Served,Barista E
2024-05-26 17:40:00,28,Bill Delivered,Barista B
2024-05-26 17:40:00,9,Snack Served,Barista D
2024-05-26 17:40:00,32,Bill Delivered,Barista E
2024-05-26 17:41:00,28,Bill Paid,Barista B
2024-05-26 17:42:00,48,Drink Served,Barista A
2024-05-26 17:42:00,9,Bill Delivered,Barista D
2024-05-26 17:42:00,33,Seated,Barista B
2024-05-26 17:43:00,44,Drink Prepared,Barista F
2024-05-26 17:43:00,32,Bill Paid,Barista E
2024-05-26 17:43:00,9,Bill Paid,Barista D
2024-05-26 17:44:00,23,Drink Prepared,Barista C
2024-05-26 17:44:00,33,Order Taken,Barista B
2024-05-26 17:44:00,44,Drink Served,Barista F
2024-05-26 17:44:00,34,Seated,Barista E
2024-05-26 17:45:00,14,Seated,Barista D
2024-05-26 17:46:00,48,Snack Prepared,Barista A
2024-05-26 17:47:00,23,Drink Served,Barista C
2024-05-26 17:47:00,44,Snack Prepared,Barista F
2024-05-26 17:48:00,34,Order Taken,Barista E
2024-05-26 17:48:00,14,Order Taken,Barista D
2024-05-26 17:49:00,48,Snack Served,Barista A
2024-05-26 17:49:00,44,Snack Served,Barista F
2024-05-26 17:50:00,44,Bill Delivered,Barista F
2024-05-26 17:51:00,33,Drink Prepared,Barista B
2024-05-26 17:51:00,23,Snack Prepared,Barista C
2024-05-26 17:51:00,48,Bill Delivered,Barista A
2024-05-26 17:51:00,44,Bill Paid,Barista F
2024-05-26 17:52:00,23,Snack Served,Barista C
2024-05-26 17:53:00,48,Bill Paid,Barista A
2024-05-26 17:53:00,47,Seated,Barista F
2024-05-26 17:54:00,34,Drink Prepared,Barista E
2024-05-26 17:54:00,33,Drink Served,Barista B
2024-05-26 17:54:00,23,Bill Delivered,Barista C
2024-05-26 17:54:00,51,Seated,Barista A
2024-05-26 17:55:00,14,Drink Prepared,Barista D
2024-05-26 17:55:00,47,Order Taken,Barista F
2024-05-26 17:57:00,34,Drink Served,Barista E
2024-05-26 17:57:00,23,Bill Paid,Barista C
2024-05-26 17:57:00,51,Order Taken,Barista A
2024-05-26 17:57:00,14,Drink Served,Barista D
2024-05-26 17:58:00,47,Drink Prepared,Barista F
2024-05-26 17:59:00,33,Snack Prepared,Barista B
2024-05-26 17:59:00,24,Seated,Barista C
2024-05-26 18:00:00,34,Snack Prepared,Barista E
2024-05-26 18:01:00,47,Drink Served,Barista F
2024-05-26 18:01:00,24,Order Taken,Barista C
2024-05-26 18:01:00,34,Snack Served,Barista E
2024-05-26 18:02:00,14,Snack Prepared,Barista D
2024-05-26 18:02:00,33,Snack Served,Barista B
2024-05-26 18:03:00,51,Drink Prepared,Barista A
2024-05-26 18:03:00,34,Bill Delivered,Barista E
2024-05-26 18:03:00,33,Bill Delivered,Barista B
2024-05-26 18:04:00,51,Drink Served,Barista A
2024-05-26 18:04:00,34,Bill Paid,Barista E
2024-05-26 18:05:00,24,Drink Prepared,Barista C
2024-05-26 18:05:00,14,Snack Served,Barista D
2024-05-26 18:05:00,38,Seated,Barista E
2024-05-26 18:06:00,47,Snack Prepared,Barista F
2024-05-26 18:06:00,33,Bill Paid,Barista B
2024-05-26 18:06:00,51,Snack Prepared,Barista A
2024-05-26 18:06:00,14,Bill Delivered,Barista D
2024-05-26 18:07:00,47,Snack Served,Barista F
2024-05-26 18:08:00,24,Drink Served,Barista C
2024-05-26 18:08:00,41,Seated,Barista B
2024-05-26 18:09:00,38,Order Taken,Barista E
2024-05-26 18:09:00,51,Snack Served,Barista A
2024-05-26 18:09:00,14,Bill Paid,Barista D
2024-05-26 18:09:00,47,Bill Delivered,Barista F
2024-05-26 18:10:00,51,Bill Delivered,Barista A
2024-05-26 18:11:00,24,Snack Prepared,Barista C
2024-05-26 18:11:00,41,Order Taken,Barista B
2024-05-26 18:11:00,47,Bill Paid,Barista F
2024-05-26 18:12:00,18,Seated,Barista D
2024-05-26 18:13:00,38,Drink Prepared,Barista E
2024-05-26 18:13:00,51,Bill Paid,Barista A
2024-05-26 18:13:00,24,Snack Served,Barista C
2024-05-26 18:13:00,59,Seated,Barista F
2024-05-26 18:14:00,38,Drink Served,Barista E
2024-05-26 18:14:00,24,Bill Delivered,Barista C
2024-05-26 18:14:00,53,Seated,Barista A
2024-05-26 18:15:00,24,Bill Paid,Barista C
2024-05-26 18:16:00,18,Order Taken,Barista D
2024-05-26 18:16:00,59,Order Taken,Barista F
2024-05-26 18:17:00,29,Seated,Barista C
2024-05-26 18:18:00,41,Drink Prepared,Barista B
2024-05-26 18:18:00,53,Order Taken,Barista A
2024-05-26 18:19:00,38,Snack Prepared,Barista E
2024-05-26 18:19:00,18,Drink Prepared,Barista D
2024-05-26 18:19:00,29,Order Taken,Barista C
2024-05-26 18:20:00,41,Drink Served,Barista B
2024-05-26 18:22:00,38,Snack Served,Barista E
2024-05-26 18:22:00,18,Drink Served,Barista D
2024-05-26 18:23:00,59,Drink Prepared,Barista F
2024-05-26 18:23:00,53,Drink Prepared,Barista A
2024-05-26 18:23:00,29,Drink Prepared,Barista C
2024-05-26 18:24:00,38,Bill Delivered,Barista E
2024-05-26 18:24:00,53,Drink Served,Barista A
2024-05-26 18:24:00,29,Drink Served,Barista C
2024-05-26 18:25:00,41,Snack Prepared,Barista B
2024-05-26 18:25:00,18,Snack Prepared,Barista D
2024-05-26 18:26:00,59,Drink Served,Barista F
2024-05-26 18:26:00,38,Bill Paid,Barista E
2024-05-26 18:27:00,18,Snack Served,Barista D
2024-05-26 18:28:00,53,Snack Prepared,Barista A
2024-05-26 18:28:00,41,Snack Served,Barista B
2024-05-26 18:28:00,59,Snack Prepared,Barista F
2024-05-26 18:28:00,45,Seated,Barista E
2024-05-26 18:28:00,18,Bill Delivered,Barista D
2024-05-26 18:29:00,29,Snack Prepared,Barista C
2024-05-26 18:29:00,41,Bill Delivered,Barista B
2024-05-26 18:29:00,18,Bill Paid,Barista D
2024-05-26 18:30:00,53,Snack Served,Barista A
2024-05-26 18:30:00,45,Order Taken,Barista E
2024-05-26 18:30:00,27,Seated,Barista D
2024-05-26 18:31:00,59,Snack Served,Barista F
2024-05-26 18:31:00,29,Snack Served,Barista C
2024-05-26 18:31:00,41,Bill Paid,Barista B
2024-05-26 18:31:00,53,Bill Delivered,Barista A
2024-05-26 18:32:00,29,Bill Delivered,Barista C
2024-05-26 18:33:00,59,Bill Delivered,Barista F
2024-05-26 18:33:00,53,Bill Paid,Barista A
2024-05-26 18:33:00,42,Seated,Barista B
2024-05-26 18:33:00,29,Bill Paid,Barista C
2024-05-26 18:34:00,45,Drink Prepared,Barista E
2024-05-26 18:34:00,59,Bill Paid,Barista F
2024-05-26 18:34:00,30,Seated,Barista C
2024-05-26 18:35:00,27,Order Taken,Barista D
2024-05-26 18:35:00,42,Order Taken,Barista B
2024-05-26 18:35:00,60,Seated,Barista A
2024-05-26 18:35:00,69,Seated,Barista F
2024-05-26 18:37:00,45,Drink Served,Barista E
2024-05-26 18:37:00,30,Order Taken,Barista C
2024-05-26 18:39:00,27,Drink Prepared,Barista D
2024-05-26 18:39:00,69,Order Taken,Barista F
2024-05-26 18:40:00,42,Drink Prepared,Barista B
2024-05-26 18:40:00,60,Order Taken,Barista A
2024-05-26 18:41:00,45,Snack Prepared,Barista E
2024-05-26 18:42:00,27,Drink Served,Barista D
2024-05-26 18:42:00,69,Drink Prepared,Barista F
2024-05-26 18:43:00,30,Drink Prepared,Barista C
2024-05-26 18:43:00,42,Drink Served,Barista B
2024-05-26 18:43:00,45,Snack Served,Barista E
2024-05-26 18:43:00,69,Drink Served,Barista F
2024-05-26 18:44:00,30,Drink Served,Barista C
2024-05-26 18:45:00,27,Snack Prepared,Barista D
2024-05-26 18:45:00,45,Bill Delivered,Barista E
2024-05-26 18:45:00,69,Snack Prepared,Barista F
2024-05-26 18:47:00,60,Drink Prepared,Barista A
2024-05-26 18:47:00,42,Snack Prepared,Barista B
2024-05-26 18:47:00,27,Snack Served,Barista D
2024-05-26 18:47:00,69,Snack Served,Barista F
2024-05-26 18:48:00,30,Snack Prepared,Barista C
2024-05-26 18:48:00,45,Bill Paid,Barista E
2024-05-26 18:48:00,27,Bill Delivered,Barista D
2024-05-26 18:48:00,69,Bill Delivered,Barista F
2024-05-26 18:49:00,60,Drink Served,Barista A
2024-05-26 18:49:00,27,Bill Paid,Barista D
2024-05-26 18:50:00,42,Snack Served,Barista B
2024-05-26 18:50:00,30,Snack Served,Barista C
2024-05-26 18:50:00,31,Seated,Barista D
2024-05-26 18:51:00,69,Bill Paid,Barista F
2024-05-26 18:51:00,50,Seated,Barista E
2024-05-26 18:52:00,42,Bill Delivered,Barista B
2024-05-26 18:52:00,30,Bill Delivered,Barista C
2024-05-26 18:52:00,31,Order Taken,Barista D
2024-05-26 18:53:00,50,Order Taken,Barista E
2024-05-26 18:53:00,70,Seated,Barista F
2024-05-26 18:53:00,30,Bill Paid,Barista C
2024-05-26 18:54:00,60,Snack Prepared,Barista A
2024-05-26 18:54:00,42,Bill Paid,Barista B
2024-05-26 18:55:00,46,Seated,Barista B
2024-05-26 18:56:00,58,Seated,Barista C
2024-05-26 18:56:00,60,Snack Served,Barista A
2024-05-26 18:57:00,31,Drink Prepared,Barista D
2024-05-26 18:57:00,70,Order Taken,Barista F
2024-05-26 18:57:00,60,Bill Delivered,Barista A
2024-05-26 18:58:00,50,Drink Prepared,Barista E
2024-05-26 18:58:00,46,Order Taken,Barista B
2024-05-26 18:58:00,31,Drink Served,Barista D
2024-05-26 19:00:00,58,Order Taken,Barista C
2024-05-26 19:00:00,60,Bill Paid,Barista A
2024-05-26 19:01:00,50,Drink Served,Barista E
2024-05-26 19:01:00,31,Snack Prepared,Barista D
2024-05-26 19:01:00,61,Seated,Barista A
2024-05-26 19:04:00,70,Drink Prepared,Barista F
2024-05-26 19:04:00,50,Snack Prepared,Barista E
2024-05-26 19:04:00,31,Snack Served,Barista D
2024-05-26 19:05:00,46,Drink Prepared,Barista B
2024-05-26 19:06:00,61,Order Taken,Barista A
2024-05-26 19:06:00,50,Snack Served,Barista E
2024-05-26 19:06:00,31,Bill Delivered,Barista D
2024-05-26 19:06:00,46,Drink Served,Barista B
2024-05-26 19:07:00,58,Drink Prepared,Barista C
2024-05-26 19:07:00,70,Drink Served,Barista F
2024-05-26 19:07:00,31,Bill Paid,Barista D
2024-05-26 19:08:00,50,Bill Delivered,Barista E
2024-05-26 19:08:00,39,Seated,Barista D
2024-05-26 19:09:00,58,Drink Served,Barista C
2024-05-26 19:09:00,50,Bill Paid,Barista E
2024-05-26 19:10:00,46,Snack Prepared,Barista B
2024-05-26 19:11:00,61,Drink Prepared,Barista A
2024-05-26 19:11:00,58,Snack Prepared,Barista C
2024-05-26 19:12:00,70,Snack Prepared,Barista F
2024-05-26 19:12:00,39,Order Taken,Barista D
2024-05-26 19:12:00,64,Seated,Barista E
2024-05-26 19:13:00,46,Snack Served,Barista B
2024-05-26 19:13:00,61,Drink Served,Barista A
2024-05-26 19:13:00,70,Snack Served,Barista F
2024-05-26 19:14:00,58,Snack Served,Barista C
2024-05-26 19:14:00,46,Bill Delivered,Barista B
2024-05-26 19:15:00,70,Bill Delivered,Barista F
2024-05-26 19:16:00,58,Bill Delivered,Barista C
2024-05-26 19:17:00,64,Order Taken,Barista E
2024-05-26 19:17:00,46,Bill Paid,Barista B
2024-05-26 19:17:00,70,Bill Paid,Barista F
2024-05-26 19:18:00,61,Snack Prepared,Barista A
2024-05-26 19:18:00,58,Bill Paid,Barista C
2024-05-26 19:18:00,83,Seated,Barista F
2024-05-26 19:19:00,39,Drink Prepared,Barista D
2024-05-26 19:19:00,72,Seated,Barista C
2024-05-26 19:20:00,64,Drink Prepared,Barista E
2024-05-26 19:20:00,54,Seated,Barista B
2024-05-26 19:21:00,61,Snack Served,Barista A
2024-05-26 19:21:00,39,Drink Served,Barista D
2024-05-26 19:21:00,64,Drink Served,Barista E
2024-05-26 19:22:00,61,Bill Delivered,Barista A
2024-05-26 19:23:00,83,Order Taken,Barista F
2024-05-26 19:23:00,54,Order Taken,Barista B
2024-05-26 19:24:00,72,Order Taken,Barista C
2024-05-26 19:24:00,39,Snack Prepared,Barista D
2024-05-26 19:24:00,64,Snack Prepared,Barista E
2024-05-26 19:24:00,61,Bill Paid,Barista A
2024-05-26 19:25:00,62,Seated,Barista A
2024-05-26 19:26:00,83,Drink Prepared,Barista F
2024-05-26 19:27:00,54,Drink Prepared,Barista B
2024-05-26 19:27:00,39,Snack Served,Barista D
2024-05-26 19:27:00,64,Snack Served,Barista E
2024-05-26 19:28:00,83,Drink Served,Barista F
2024-05-26 19:28:00,64,Bill Delivered,Barista E
2024-05-26 19:29:00,72,Drink Prepared,Barista C
2024-05-26 19:29:00,62,Order Taken,Barista A
2024-05-26 19:29:00,39,Bill Delivered,Barista D
2024-05-26 19:30:00,54,Drink Served,Barista B
2024-05-26 19:31:00,64,Bill Paid,Barista E
2024-05-26 19:31:00,39,Bill Paid,Barista D
2024-05-26 19:32:00,72,Drink Served,Barista C
2024-05-26 19:33:00,83,Snack Prepared,Barista F
2024-05-26 19:33:00,67,Seated,Barista E
2024-05-26 19:34:00,40,Seated,Barista D
2024-05-26 19:35:00,62,Drink Prepared,Barista A
2024-05-26 19:35:00,54,Snack Prepared,Barista B
2024-05-26 19:36:00,72,Snack Prepared,Barista C
2024-05-26 19:36:00,83,Snack Served,Barista F
2024-05-26 19:36:00,62,Drink Served,Barista A
2024-05-26 19:37:00,67,Order Taken,Barista E
2024-05-26 19:37:00,40,Order Taken,Barista D
2024-05-26 19:37:00,54,Snack Served,Barista B
2024-05-26 19:38:00,72,Snack Served,Barista C
2024-05-26 19:38:00,83,Bill Delivered,Barista F
2024-05-26 19:39:00,54,Bill Delivered,Barista B
2024-05-26 19:40:00,40,Drink Prepared,Barista D
2024-05-26 19:40:00,72,Bill Delivered,Barista C
2024-05-26 19:40:00,83,Bill Paid,Barista F
2024-05-26 19:40:00,54,Bill Paid,Barista B
2024-05-26 19:41:00,62,Snack Prepared,Barista A
2024-05-26 19:41:00,40,Drink Served,Barista D
2024-05-26 19:41:00,56,Seated,Barista B
2024-05-26 19:42:00,84,Seated,Barista F
2024-05-26 19:43:00,72,Bill Paid,Barista C
2024-05-26 19:43:00,40,Snack Prepared,Barista D
2024-05-26 19:44:00,67,Drink Prepared,Barista E
2024-05-26 19:44:00,62,Snack Served,Barista A
2024-05-26 19:44:00,84,Order Taken,Barista F
2024-05-26 19:45:00,40,Snack Served,Barista D
2024-05-26 19:45:00,67,Drink Served,Barista E
2024-05-26 19:46:00,56,Order Taken,Barista B
2024-05-26 19:46:00,77,Seated,Barista C
2024-05-26 19:46:00,62,Bill Delivered,Barista A
2024-05-26 19:47:00,40,Bill Delivered,Barista D
2024-05-26 19:48:00,84,Drink Prepared,Barista F
2024-05-26 19:48:00,77,Order Taken,Barista C
2024-05-26 19:48:00,62,Bill Paid,Barista A
2024-05-26 19:49:00,67,Snack Prepared,Barista E
2024-05-26 19:49:00,56,Drink Prepared,Barista B
2024-05-26 19:49:00,63,Seated,Barista A
2024-05-26 19:50:00,40,Bill Paid,Barista D
2024-05-26 19:51:00,84,Drink Served,Barista F
2024-05-26 19:52:00,77,Drink Prepared,Barista C
2024-05-26 19:52:00,67,Snack Served,Barista E
2024-05-26 19:52:00,56,Drink Served,Barista B
2024-05-26 19:52:00,43,Seated,Barista D
2024-05-26 19:53:00,67,Bill Delivered,Barista E
2024-05-26 19:54:00,63,Order Taken,Barista A
2024-05-26 19:54:00,84,Snack Prepared,Barista F
2024-05-26 19:55:00,77,Drink Served,Barista C
2024-05-26 19:55:00,84,Snack Served,Barista F
2024-05-26 19:56:00,56,Snack Prepared,Barista B
2024-05-26 19:56:00,67,Bill Paid,Barista E
2024-05-26 19:56:00,84,Bill Delivered,Barista F
2024-05-26 19:57:00,43,Order Taken,Barista D
